name,phone_number,address,types,price_level,rating
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
青田七六,,大安區青田街7巷6號,restaurant food point_of_interest establishment,2,4.4
歐嬤德式美食 哥德店,,大安區辛亥路一段30號,bakery store restaurant point_of_interest food establishment,2,4.4
夏慕尼新香榭鐵板燒 台北南昌店,,"2樓, No. 112, 南昌路二段, 中正区",restaurant point_of_interest food establishment,3,4.4
鼎泰豐 信義店,,大安區信義路二段194號,restaurant food point_of_interest establishment,2,4.4
A.B HOUSE 義式私房料理,,大安區潮州街188號,restaurant food point_of_interest establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
