comments,keywords
: 不用太擔心BLG 聽說BIN會出手,"[':', ' ', '不用', '太', '擔心', 'BLG', ' ', '聽', '說', 'BIN', '會', '出手']"
: 就沒爆擊...,"[':', ' ', '就', '沒', '爆擊', '...']"
: 下一把給左手工具人練角了吧==,"[':', ' ', '下', '一把', '給', '左手', '工具', '人練角', '了', '吧', '=', '=']"
: 尺哥carry,"[':', ' ', '尺哥', 'carry']"
: 牙膏歷山卓是不會用大開戰嗎？,"[':', ' ', '牙膏', '歷山卓是', '不會用', '大', '開戰', '嗎', '？']"
: 笑死 閃在一團一起炸,"[':', ' ', '笑', '死', ' ', '閃', '在', '一團', '一起', '炸']"
: 悠五就乖乖當主播不要一直講一些很怪的觀念,"[':', ' ', '悠五', '就', '乖乖', '當主播', '不要', '一直', '講', '一些', '很怪', '的', '觀念']"
: 牙膏到底在幹嘛....,"[':', ' ', '牙膏', '到底', '在', '幹', '嘛', '....']"
: 8888888888888888,"[':', ' ', '8888888888888888']"
: 神左尺哥！！！！！我設了！！！,"[':', ' ', '神左尺', '哥', '！', '！', '！', '！', '！', '我設', '了', '！', '！', '！']"
: 實力差距,"[':', ' ', '實力', '差距']"
: 9999999999999999999999999,"[':', ' ', '9999999999999999999999999']"
: 屠殺,"[':', ' ', '屠殺']"
: GG,"[':', ' ', 'GG']"
": 切藍槍綠槍q,就會是紫槍啊 再補個紫q","[':', ' ', '切藍槍', '綠槍', 'q', ',', '就', '會', '是', '紫槍', '啊', ' ', '再', '補個', '紫', 'q']"
: 宇宙四件頭!!,"[':', ' ', '宇宙', '四件', '頭', '!', '!']"
: 屌虐,"[':', ' ', '屌', '虐']"
: 好虐,"[':', ' ', '好虐']"
: 熊哥哥的宇宙四件頭 ... 真的好強 ......,"[':', ' ', '熊', '哥哥', '的', '宇宙', '四件', '頭', ' ', '...', ' ', '真的', '好強', ' ', '......']"
: 笑死這雙人線太扯了吧,"[':', ' ', '笑', '死', '這雙', '人線', '太', '扯', '了', '吧']"
: 888888888,"[':', ' ', '888888888']"
: 雙c差距 GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,"[':', ' ', '雙', 'c', '差距', ' ', 'GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG']"
: 牙膏484來玩的,"[':', ' ', '牙膏', '484', '來', '玩', '的']"
: 尺哥真大腿,"[':', ' ', '尺哥', '真', '大腿']"
: blg真的好爛zz,"[':', ' ', 'blg', '真的', '好爛', 'zz']"
: ggggg,"[':', ' ', 'ggggg']"
: 牙膏跟bin爛透了,"[':', ' ', '牙膏', '跟', 'bin', '爛透', '了']"
: 宇宙四件頭！！,"[':', ' ', '宇宙', '四件', '頭', '！', '！']"
: 暴打,"[':', ' ', '暴打']"
: missing也好猛喔,"[':', ' ', 'missing', '也好', '猛', '喔']"
: 他整個MSI都在睡耶,"[':', ' ', '他', '整個', 'MSI', '都', '在', '睡', '耶']"
: 牙膏到底有啥幹用,"[':', ' ', '牙膏', '到底', '有', '啥', '幹用']"
: 幹 四件頭他X有夠猛  團戰好爽阿!!!!!!!!!!!!!,"[':', ' ', '幹', ' ', '四件', '頭他', 'X', '有夠', '猛', ' ', ' ', '團戰', '好爽', '阿', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']"
: 宇宙四件頭,"[':', ' ', '宇宙', '四件', '頭']"
: 連塔都推不到,"[':', ' ', '連塔', '都', '推', '不到']"
: 宇宙四件頭  真的好強,"[':', ' ', '宇宙', '四件', '頭', ' ', ' ', '真的', '好強']"
: LPL 第一跟第二種 差距有點大....,"[':', ' ', 'LPL', ' ', '第一', '跟', '第二', '種', ' ', '差距', '有點', '大', '....']"
: 尺哥爽局啊 結果BLG都把火力去搞左手,"[':', ' ', '尺哥', '爽局', '啊', ' ', '結果', 'BLG', '都', '把', '火力', '去', '搞', '左手']"
: POG,"[':', ' ', 'POG']"
: 右邊團在打啥真看不懂,"[':', ' ', '右邊團', '在', '打', '啥', '真', '看不懂']"
: 爆打,"[':', ' ', '爆打']"
: 22 op,"[':', ' ', '22', ' ', 'op']"
: 這就是BLG抄的作業嗎,"[':', ' ', '這', '就是', 'BLG', '抄', '的', '作業', '嗎']"
: 宇宙四箭頭太猛了.........,"[':', ' ', '宇宙', '四箭頭', '太猛', '了', '.........']"
: 太狠啦,"[':', ' ', '太狠', '啦']"
: 真的是團戰美如畫耶 是BLG太爛嗎,"[':', ' ', '真的', '是', '團戰', '美如畫', '耶', ' ', '是', 'BLG', '太爛', '嗎']"
: 太強了 T1怎麼打,"[':', ' ', '太強', '了', ' ', 'T1', '怎麼', '打']"
: Elk也好醜,"[':', ' ', 'Elk', '也好', '醜']"
: 雄哥果然是先知,"[':', ' ', '雄哥', '果然', '是', '先知']"
: XUN導笑了 看來第一場想收低賠 不敢搞,"[':', ' ', 'XUN', '導笑', '了', ' ', '看來', '第一', '場想', '收低', '賠', ' ', '不敢', '搞']"
: 尺哥一射五 到底怎麼輸,"[':', ' ', '尺哥', '一射', '五', ' ', '到底', '怎麼', '輸']"
: #正式宣布,"[':', ' ', '#', '正式', '宣布']"
: Ruler真的好強,"[':', ' ', 'Ruler', '真的', '好強']"
: 感覺要3:0了,"[':', ' ', '感覺', '要', '3', ':', '0', '了']"
: 369坦克 >>> Bin,"[':', ' ', '369', '坦克', ' ', '>', '>', '>', ' ', 'Bin']"
: 追左手太久了吧，結果還沒換到,"[':', ' ', '追', '左手', '太久', '了', '吧', '，', '結果', '還沒換', '到']"
: 牙膏不是普通的爛,"[':', ' ', '牙膏', '不是', '普通', '的', '爛']"
: 還是要靠韓國人 Ruler!!!!,"[':', ' ', '還是', '要', '靠', '韓國人', ' ', 'Ruler', '!', '!', '!', '!']"
: ad差距好大 jinx w跟e一直空 ==,"[':', ' ', 'ad', '差距', '好大', ' ', 'jinx', ' ', 'w', '跟', 'e', '一直', '空', ' ', '=', '=']"
: 尺哥哥真的好強……,"[':', ' ', '尺', '哥哥', '真的', '好強', '…', '…']"
: BLG看到殘血就拉開陣形去抓，根本沒在管怎麼打會贏,"[':', ' ', 'BLG', '看到', '殘血', '就', '拉', '開陣', '形去', '抓', '，', '根本', '沒', '在', '管', '怎麼', '打會贏']"
: 牙膏這樣打真的是沒啥救,"[':', ' ', '牙膏', '這樣', '打', '真的', '是', '沒', '啥', '救']"
: 牙膏整個MSI是真慘,"[':', ' ', '牙膏', '整個', 'MSI', '是', '真慘']"
: LPL就這？,"[':', ' ', 'LPL', '就', '這', '？']"
: 神左一個人吸引4個把BLG拉麻了,"[':', ' ', '神', '左', '一個', '人', '吸引', '4', '個', '把', 'BLG', '拉麻', '了']"
: 左手拉扯好猛,"[':', ' ', '左手', '拉扯', '好', '猛']"
: 這波團369在秀,"[':', ' ', '這波團', '369', '在', '秀']"
: 羊柱子撞三個?,"[':', ' ', '羊', '柱子', '撞三個', '?']"
: 上路差距可能跟下路一樣大 會戰影響力差太多了,"[':', ' ', '上路', '差距', '可能', '跟', '下路', '一樣', '大', ' ', '會戰', '影響力', '差太多', '了']"
: 熊哥高潮惹!!!!!!!!!!!!!!!!,"[':', ' ', '熊哥', '高潮', '惹', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']"
: 牙膏 #別買太多,"[':', ' ', '牙膏', ' ', '#', '別買', '太多']"
: 三箭頭都在秀,"[':', ' ', '三箭頭', '都', '在', '秀']"
: 的確是切錯槍吧  我剛剛看剛好換紫槍不是嗎,"[':', ' ', '的', '確是', '切錯', '槍', '吧', ' ', ' ', '我', '剛剛', '看剛', '好換', '紫槍', '不是', '嗎']"
: 這團戰要多醜有多醜 跟沒在溝通一樣,"[':', ' ', '這團', '戰要', '多', '醜有', '多醜', ' ', '跟', '沒', '在', '溝通', '一樣']"
: 4833,"[':', ' ', '4833']"
: 阿尺笑了,"[':', ' ', '阿尺', '笑', '了']"
: #正式宣布,"[':', ' ', '#', '正式', '宣布']"
: Kanavi意識太好。Ruler真的因為Kanavi真的隨便打。,"[':', ' ', 'Kanavi', '意識', '太好', '。', 'Ruler', '真的', '因為', 'Kanavi', '真的', '隨便', '打', '。']"
: 狐狸有夠煩,"[':', ' ', '狐狸', '有夠', '煩']"
: 越看越不覺得JDG有到geng T1 的等級,"[':', ' ', '越', '看', '越', '不覺', '得', 'JDG', '有', '到', 'geng', ' ', 'T1', ' ', '的', '等', '級']"
: BLG都為了殺一個人整團上去被大N個,"[':', ' ', 'BLG', '都', '為', '了', '殺', '一個', '人', '整團', '上去', '被', '大', 'N', '個']"
: 笑死 賽恩瘋了,"[':', ' ', '笑', '死', ' ', '賽恩', '瘋', '了']"
: 牙膏餐廳不知道訂幾點的 很急喔,"[':', ' ', '牙膏', '餐廳', '不', '知道', '訂幾點', '的', ' ', '很', '急', '喔']"
: 宇宙4箭頭VS決賽前的T1,"[':', ' ', '宇宙', '4', '箭頭', 'VS', '決賽', '前', '的', 'T1']"
: better adc win,"[':', ' ', 'better', ' ', 'adc', ' ', 'win']"
: 亞菲利歐太複雜推文不會玩嗎= =,"[':', ' ', '亞', '菲利', '歐太', '複', '雜推文', '不會', '玩', '嗎', '=', ' ', '=']"
: bin好好笑,"[':', ' ', 'bin', '好好笑']"
: 尺哥太扯了吧 這樣走進去,"[':', ' ', '尺哥', '太', '扯', '了', '吧', ' ', '這樣', '走', '進去']"
: 牙膏到底再開啥軌,"[':', ' ', '牙膏', '到底', '再開', '啥', '軌']"
: 哈哈哈哈,"[':', ' ', '哈哈哈哈']"
: 牙膏滿搞笑的,"[':', ' ', '牙膏', '滿', '搞笑', '的']"
: 你永遠可以相信宇宙四件頭,"[':', ' ', '你永遠', '可以', '相信', '宇宙', '四件', '頭']"
: 與其追追左手，不如先把龍坑剩餘的人處理,"[':', ' ', '與', '其', '追', '追', '左手', '，', '不如', '先', '把', '龍坑', '剩餘', '的', '人', '處理']"
: 尺哥走位輸出還打滿 = =,"[':', ' ', '尺哥', '走位', '輸出', '還打滿', ' ', '=', ' ', '=']"
: 牙膏純犯罪,"[':', ' ', '牙膏', '純', '犯罪']"
: 膏笨笨,"[':', ' ', '膏', '笨笨']"
: 在四件頭面前撐到現在才失智 給過,"[':', ' ', '在', '四件', '頭', '面前', '撐', '到', '現', '在', '才', '失智', ' ', '給過']"
: 中下差距,"[':', ' ', '中', '下', '差距']"
: 春決就因為不會jinx輸 結果練這麼久還長這樣,"[':', ' ', '春決', '就', '因為', '不會', 'jinx', '輸', ' ', '結果', '練', '這麼', '久', '還長', '這樣']"
: 要開始擔心LCK夠不夠JDG打了,"[':', ' ', '要', '開始', '擔心', 'LCK', '夠不夠', 'JDG', '打', '了']"
: 這團戰一直扁一直扁 好過癮,"[':', ' ', '這團戰', '一直', '扁', '一直', '扁', ' ', '好過', '癮']"
: Missing這把可不可以升級成件頭啊 鉤子好準啊,"[':', ' ', 'Missing', '這把', '可不可以', '升級', '成件頭', '啊', ' ', '鉤子', '好準', '啊']"
: Missing這場也太猛,"[':', ' ', 'Missing', '這場', '也', '太猛']"
: Bin的站位 好像他覺得坦克就是送血就好,"[':', ' ', 'Bin', '的', '站位', ' ', '好像', '他覺', '得', '坦克', '就是', '送血', '就', '好']"
: 笑死 剛送完一波繼續送 我會笑死,"[':', ' ', '笑', '死', ' ', '剛送', '完一波', '繼續', '送', ' ', '我會', '笑', '死']"
: 牙膏......,"[':', ' ', '牙膏', '......']"
: 爛透了= =今天大概3:0吧= =,"[':', ' ', '爛透', '了', '=', ' ', '=', '今天', '大概', '3', ':', '0', '吧', '=', ' ', '=']"
: Driver: 輔助 不重要!,"[':', ' ', 'Driver', ':', ' ', '輔助', ' ', '不', '重要', '!']"
: 大東真沒碰過真的會不知道切槍在幹嘛 正常,"[':', ' ', '大東', '真', '沒', '碰過', '真的', '會', '不', '知道', '切槍', '在', '幹', '嘛', ' ', '正常']"
: 大韓雙C,"[':', ' ', '大', '韓雙', 'C']"
: bin真的菜,"[':', ' ', 'bin', '真的', '菜']"
: 無聊3：0了，blg搞不好連g2都打不贏,"[':', ' ', '無聊', '3', '：', '0', '了', '，', 'blg', '搞不好', '連', 'g2', '都', '打', '不贏']"
: Missing不能當件頭又不是實力問題是ID問題,"[':', ' ', 'Missing', '不能', '當件頭', '又', '不是', '實力', '問題', '是', 'ID', '問題']"
: 牙膏是不是不會玩冰女啊,"[':', ' ', '牙膏', '是不是', '不會', '玩冰女', '啊']"
: 宇宙四件頭...怎麼輸,"[':', ' ', '宇宙', '四件', '頭', '...', '怎麼', '輸']"
: 牙膏我會笑死 會不會玩liss啊？,"[':', ' ', '牙膏', '我會', '笑', '死', ' ', '會不會', '玩', 'liss', '啊', '？']"
: AD gap,"[':', ' ', 'AD', ' ', 'gap']"
: 牙膏這距離判斷差得有點遠XD,"[':', ' ', '牙膏', '這距', '離判斷', '差得', '有點', '遠', 'XD']"
: 尺哥這個拉打漂亮,"[':', ' ', '尺哥', '這個', '拉', '打', '漂亮']"
: 五件頭了吧,"[':', ' ', '五件', '頭了', '吧']"
: 尺帝好強,"[':', ' ', '尺帝', '好強']"
: 看. 開這什麼靈車zz,"[':', ' ', '看', '.', ' ', '開', '這什麼', '靈車', 'zz']"
: 這隊太強,"[':', ' ', '這隊', '太強']"
: BIN還是別玩坦吧，相性不合，369是整個春天都再坦,"[':', ' ', 'BIN', '還是', '別玩坦', '吧', '，', '相性', '不合', '，', '369', '是', '整個', '春天', '都', '再坦']"
: Bin打C9的時候 明明超強的阿 很屌的說,"[':', ' ', 'Bin', '打', 'C9', '的', '時候', ' ', '明明', '超強', '的', '阿', ' ', '很', '屌', '的', '說']"
: missing真的不錯,"[':', ' ', 'missing', '真的', '不錯']"
: AV這把其實很難受的，本來他都是刷野打團爆C這把得,"[':', ' ', 'AV', '這把', '其實', '很', '難受', '的', '，', '本來', '他', '都', '是', '刷野', '打團', '爆', 'C', '這把', '得']"
: trash bin,"[':', ' ', 'trash', ' ', 'bin']"
: 五件頭,"[':', ' ', '五件', '頭']"
: 在四箭頭面前稱20分鐘 算不錯了,"[':', ' ', '在', '四箭頭', '面前', '稱', '20', '分鐘', ' ', '算不錯', '了']"
: 大東已經肥到沒辦法處理了,"[':', ' ', '大東', '已', '經肥', '到', '沒', '辦法', '處理', '了']"
: 韓爹真的好強啊,"[':', ' ', '韓爹', '真的', '好強', '啊']"
: C9讓BLG看起來很強,"[':', ' ', 'C9', '讓', 'BLG', '看起', '來', '很強']"
: 聊天室說牙膏今天是不是也有訂餐廳 笑死,"[':', ' ', '聊天室', '說', '牙膏', '今天', '是不是', '也', '有訂', '餐廳', ' ', '笑', '死']"
: 這就是不買韓援的下場,"[':', ' ', '這', '就是', '不買', '韓援', '的', '下場']"
: BLG亂開靈車，亂打團戰,"[':', ' ', 'BLG', '亂', '開靈車', '，', '亂', '打團戰']"
: 只能說BLG還是多看熊哥分析吧,"[':', ' ', '只能', '說', 'BLG', '還是', '多', '看', '熊哥', '分析', '吧']"
: U5到底在公沙小,"[':', ' ', 'U5', '到底', '在', '公沙', '小']"
: 運氣哥好了啦 打個FUDGE就說屌,"[':', ' ', '運氣哥', '好', '了', '啦', ' ', '打個', 'FUDGE', '就', '說', '屌']"
: 當狗前期0/3/4，不過JDG雙C兜底,"[':', ' ', '當狗', '前期', '0', '/', '3', '/', '4', '，', '不過', 'JDG', '雙', 'C', '兜底']"
: 牙膏的國際賽表現真的偏廢,"[':', ' ', '牙膏', '的', '國際賽', '表現', '真的', '偏廢']"
: BLG每個團都要接是哪招？,"[':', ' ', 'BLG', '每個團', '都', '要', '接是', '哪招', '？']"
: Bin這種三線上路，虐菜還行 打到稍微強的就剩耍憨功,"[':', ' ', 'Bin', '這種', '三線', '上路', '，', '虐菜', '還行', ' ', '打', '到', '稍微', '強的', '就', '剩耍', '憨功']"
: 這就是韓援,"[':', ' ', '這', '就是', '韓援']"
: 都一樣上路坦克打野野核中路支援下路大核,"[':', ' ', '都', '一樣', '上路', '坦克', '打野', '野核', '中路', '支援', '下路', '大核']"
: 這把輔助這麼猛 可以算五件頭了吧 熊哥,"[':', ' ', '這把', '輔助', '這麼', '猛', ' ', '可以', '算', '五件', '頭了', '吧', ' ', '熊哥']"
: 冠軍一定會有韓國人ㄉ,"[':', ' ', '冠', '軍', '一定', '會有', '韓國人', 'ㄉ']"
: C9也沒有讓BLG看起來很強 那個BO BLG還是很爛 純粹,"[':', ' ', 'C9', '也', '沒', '有', '讓', 'BLG', '看起', '來', '很強', ' ', '那個', 'BO', ' ', 'BLG', '還是', '很爛', ' ', '純粹']"
: JDG陣型都很完整  AD爽輸出BLG連碰都碰不到,"[':', ' ', 'JDG', '陣型', '都', '很', '完整', ' ', ' ', 'AD', '爽輸出', 'BLG', '連碰', '都', '碰', '不到']"
: 今天母親節，可能真的也有訂餐廳,"[':', ' ', '今天', '母親節', '，', '可能', '真的', '也', '有訂', '餐廳']"
: jdg有機會把T1打下敗部,"[':', ' ', 'jdg', '有', '機會', '把', 'T1', '打下', '敗部']"
: 哇靠這根柱子 擋住賽恩的車,"[':', ' ', '哇', '靠', '這根', '柱子', ' ', '擋住', '賽恩的車']"
: 是c9爛到太離譜了 沒blg甚麼事,"[':', ' ', '是', 'c9', '爛到', '太離', '譜', '了', ' ', '沒', 'blg', '甚麼', '事']"
: BLG給陳澤彬玩坦就沒有強邊了LUL,"[':', ' ', 'BLG', '給陳澤彬', '玩坦', '就', '沒', '有', '強邊', '了', 'LUL']"
: Tabe的BP沒有什麼進步,"[':', ' ', 'Tabe', '的', 'BP', '沒有', '什麼', '進步']"
: 真的是靠韓國人,"[':', ' ', '真的', '是', '靠', '韓國人']"
: 超痛==,"[':', ' ', '超痛', '=', '=']"
: 這賽恩真的很爛 輸昨天LCK的輸很多,"[':', ' ', '這賽', '恩', '真的', '很爛', ' ', '輸', '昨天', 'LCK', '的', '輸', '很多']"
: 尺帝來虐菜的,"[':', ' ', '尺帝', '來', '虐菜', '的']"
: 369會站在別人要先處理他 但又不能安全A到的位置,"[':', ' ', '369', '會', '站', '在', '別人要', '先處理', '他', ' ', '但', '又', '不能', '安全', 'A', '到', '的', '位置']"
: JDG牙膏還是很強欸,"[':', ' ', 'JDG', '牙膏', '還是', '很強', '欸']"
: 打C9的時候一副屌樣 一副他超強的樣子,"[':', ' ', '打', 'C9', '的', '時候', '一副', '屌', '樣', ' ', '一副', '他', '超強', '的', '樣子']"
: 不要G,"[':', ' ', '不要', 'G']"
: 我是感覺看BP他們團練狀況應該不怎樣,"[':', ' ', '我', '是', '感覺', '看', 'BP', '他們', '團練', '狀況', '應該', '不', '怎樣']"
: 殺人誅新,"[':', ' ', '殺人', '誅', '新']"
: 今天這五箭頭吧 還4 BLG太爛 哈哈,"[':', ' ', '今天', '這五箭頭', '吧', ' ', '還', '4', ' ', 'BLG', '太爛', ' ', '哈哈']"
: 好虐 有夠虐,"[':', ' ', '好虐', ' ', '有夠', '虐']"
: 不要G不要G,"[':', ' ', '不要', 'G', '不要', 'G']"
: 這場中上嚴重gap,"[':', ' ', '這場', '中上', '嚴重', 'gap']"
: 炸魚,"[':', ' ', '炸魚']"
: 這中上路演員？,"[':', ' ', '這中', '上', '路演', '員', '？']"
: LPL還敢說自己第一賽區 一個韓國人加入直接暴打整,"[':', ' ', 'LPL', '還敢', '說', '自己', '第一', '賽區', ' ', '一個', '韓國人', '加入', '直接', '暴打', '整']"
: 虐,"[':', ' ', '虐']"
: 宇宙四件頭,"[':', ' ', '宇宙', '四件', '頭']"
: T1瑟瑟發抖?,"[':', ' ', 'T1', '瑟瑟', '發抖', '?']"
: 個LPL,"[':', ' ', '個', 'LPL']"
: jg gap,"[':', ' ', 'jg', ' ', 'gap']"
: 兩個件頭就夠了,"[':', ' ', '兩個件', '頭就夠', '了']"
: 控制也會留著等隊友 Bin就只是往前站亂丟朝,"[':', ' ', '控制', '也', '會', '留著', '等', '隊友', ' ', 'Bin', '就', '只是', '往前', '站', '亂', '丟朝']"
: Bin 抖啦,"[':', ' ', 'Bin', ' ', '抖', '啦']"
: 酥酥脆脆,"[':', ' ', '酥', '酥脆', '脆']"
: 左手標記上了,"[':', ' ', '左手', '標記', '上', '了']"
: 虐爛 感覺也是3:0了,"[':', ' ', '虐爛', ' ', '感覺', '也', '是', '3', ':', '0', '了']"
: 4件頭,"[':', ' ', '4', '件頭']"
: 太輕鬆了,"[':', ' ', '太', '輕', '鬆', '了']"
: G2打BLG有點懸念,"[':', ' ', 'G2', '打', 'BLG', '有點', '懸念']"
: 蝦仁豬心,"[':', ' ', '蝦仁', '豬心']"
: Ruler太強了,"[':', ' ', 'Ruler', '太強', '了']"
: easy,"[':', ' ', 'easy']"
: 大家都抄LCK作業，但操作不過關都爆開,"[':', ' ', '大家', '都', '抄', 'LCK', '作業', '，', '但', '操作', '不過關', '都', '爆開']"
: 還不是靠韓國人,"[':', ' ', '還', '不是', '靠', '韓國人']"
: BLG的戰術  超醜  不會玩就不要學,"[':', ' ', 'BLG', '的', '戰術', ' ', ' ', '超醜', ' ', ' ', '不會', '玩', '就', '不要', '學']"
: 三小 講的像Ruler加入前JDG不是LPL冠軍,"[':', ' ', '三小', ' ', '講的', '像', 'Ruler', '加入', '前', 'JDG', '不是', 'LPL', '冠', '軍']"
: #2好像不夠打欸,"[':', ' ', '#', '2', '好像', '不夠', '打', '欸']"
: 尺哥還是太強，那個諭示者飛輪海直接起飛,"[':', ' ', '尺哥', '還是', '太強', '，', '那個', '諭', '示者', '飛輪海', '直接', '起飛']"
: 虐菜==,"[':', ' ', '虐菜', '=', '=']"
: G2配合應該屌打BLG==,"[':', ' ', 'G2', '配合', '應該', '屌', '打', 'BLG', '=', '=']"
: 選啥豹女呢,"[':', ' ', '選啥', '豹', '女', '呢']"
: JDG太猛了點啊!!!!殺人誅心!!!!虐泉,"[':', ' ', 'JDG', '太猛', '了點', '啊', '!', '!', '!', '!', '殺人', '誅心', '!', '!', '!', '!', '虐泉']"
: 隨便誰去敗部 反正決賽一定有韓國人,"[':', ' ', '隨便', '誰', '去', '敗部', ' ', '反正', '決賽', '一定', '有', '韓國人']"
: 熊哥吹了那麼久的神左，終於要有成績了嗎,"[':', ' ', '熊哥', '吹', '了', '那麼', '久', '的', '神', '左', '，', '終於要', '有', '成績', '了', '嗎']"
: 這把才像賽區第一打第二的差距,"[':', ' ', '這把', '才', '像', '賽區', '第一', '打', '第二', '的', '差距']"
: lpl就是京東加一群菜雞,"[':', ' ', 'lpl', '就是', '京東加', '一群', '菜雞']"
: 四件頭！,"[':', ' ', '四件', '頭', '！']"
: 牙膏從春決爛到現在,"[':', ' ', '牙膏', '從春', '決爛', '到', '現在']"
: 四件頭 我就問 怎麼輸?,"[':', ' ', '四件', '頭', ' ', '我', '就問', ' ', '怎麼', '輸', '?']"
: 宇宙四件頭…好強…,"[':', ' ', '宇宙', '四件', '頭', '…', '好強', '…']"
: JDG兩件頭就虐了==,"[':', ' ', 'JDG', '兩件頭', '就', '虐', '了', '=', '=']"
: 怎麼沒有亮拳頭亮比數了,"[':', ' ', '怎麼', '沒有亮', '拳頭亮', '比數', '了']"
: 怎麼JDG打BLG比打GG還好打,"[':', ' ', '怎麼', 'JDG', '打', 'BLG', '比', '打', 'GG', '還好', '打']"
: BIN拿坦克BLG連TES都打不贏吧,"[':', ' ', 'BIN', '拿', '坦克', 'BLG', '連', 'TES', '都', '打', '不贏', '吧']"
: 看起來是GG 3:0,"[':', ' ', '看起', '來', '是', 'GG', ' ', '3', ':', '0']"
: 兩件頭出力就輾過去了 GG 3:0,"[':', ' ', '兩件頭', '出力', '就', '輾過', '去', '了', ' ', 'GG', ' ', '3', ':', '0']"
: blg至少掙扎一下不要那麼爛,"[':', ' ', 'blg', '至少', '掙扎', '一下', '不要', '那麼爛']"
: BIN就不能拿坦克開混阿,"[':', ' ', 'BIN', '就', '不能', '拿', '坦克', '開混', '阿']"
: 但Ruler就是猛啊 這還否認啊,"[':', ' ', '但', 'Ruler', '就是', '猛', '啊', ' ', '這還', '否認', '啊']"
: #1屌打#2很奇怪嗎 很正常的吧,"[':', ' ', '#', '1', '屌', '打', '#', '2', '很', '奇怪', '嗎', ' ', '很', '正常', '的', '吧']"
: 奈德麗肥根本沒用,"[':', ' ', '奈德', '麗肥', '根本', '沒用']"
: ruler來前 JDG也第一啊 雲喔,"[':', ' ', 'ruler', '來前', ' ', 'JDG', '也', '第一', '啊', ' ', '雲', '喔']"
: 牙膏這場有夠醜 洗洗睡,"[':', ' ', '牙膏', '這場', '有', '夠醜', ' ', '洗洗', '睡']"
: 悠五搭zod是不是會比較順阿,"[':', ' ', '悠五', '搭', 'zod', '是不是', '會', '比', '較', '順', '阿']"
: BLG應該一場都拿不下來,"[':', ' ', 'BLG', '應該', '一場', '都', '拿', '不下', '來']"
: 選nid然後上路玩坦真的不想贏,"[':', ' ', '選', 'nid', '然', '後', '上路', '玩坦', '真的', '不想', '贏']"
: 還是我的錯覺,"[':', ' ', '還是', '我', '的', '錯覺']"
: 這場純BP大問題 BIN不能拿坦克,"[':', ' ', '這場', '純', 'BP', '大', '問題', ' ', 'BIN', '不能', '拿', '坦克']"
: 還在說靠韓國人 其他人表現都無視,"[':', ' ', '還在', '說', '靠', '韓國人', ' ', '其他人', '表現', '都', '無視']"
: 已經掙扎啦 不然怎麼打到25分的,"[':', ' ', '已經', '掙扎', '啦', ' ', '不然', '怎麼', '打到', '25', '分', '的']"
: 虐菜局 沒事 blg 下去敗部虐別人,"[':', ' ', '虐菜局', ' ', '沒事', ' ', 'blg', ' ', '下去', '敗部', '虐別', '人']"
: 昨天那兩場可是下剋上,"[':', ' ', '昨天', '那', '兩場', '可是', '下', '剋', '上']"
: Ruler來之前的JDG被T1在世界賽按在地上打,"[':', ' ', 'Ruler', '來', '之前', '的', 'JDG', '被', 'T1', '在', '世界', '賽', '按', '在', '地上', '打']"
: 牙膏還是一樣爛,"[':', ' ', '牙膏', '還是', '一樣爛']"
: 牙膏進入msi後 退化得超級離譜,"[':', ' ', '牙膏', '進入', 'msi', '後', ' ', '退化', '得', '超級', '離譜']"
: ？,"[':', ' ', '？']"
: 掙扎就是各種1換5 0換5,"[':', ' ', '掙扎', '就是', '各種', '1', '換', '5', ' ', '0', '換', '5']"
: 被左手認定是菜 BLG沒了 虐菜絕不軟手,"[':', ' ', '被', '左手', '認定', '是', '菜', ' ', 'BLG', '沒', '了', ' ', '虐菜', '絕不軟手']"
: 去年JDG慘不忍睹喔,"[':', ' ', '去年', 'JDG', '慘', '不忍', '睹', '喔']"
: 阿彬得拿輸出角 勳就不能玩野核,"[':', ' ', '阿彬', '得', '拿', '輸', '出角', ' ', '勳', '就', '不能', '玩野核']"
: 牙膏還是很強啊 JDG還是要靠他,"[':', ' ', '牙膏', '還是', '很強', '啊', ' ', 'JDG', '還是', '要', '靠', '他']"
: 箭頭,"[':', ' ', '箭頭']"
: 白痴賽區最後遮羞布 韓國人,"[':', ' ', '白痴', '賽區', '最', '後', '遮羞布', ' ', '韓國人']"
: 下一場讓BIN拿凱能之類的再看看,"[':', ' ', '下一場', '讓', 'BIN', '拿凱能', '之類', '的', '再', '看看']"
: 神左已經給牙膏上印記了,"[':', ' ', '神', '左', '已', '經給', '牙膏', '上', '印記', '了']"
: 牙膏進MSI真的慘，打外卡也是爛爛的,"[':', ' ', '牙膏', '進', 'MSI', '真的', '慘', '，', '打', '外卡', '也', '是', '爛爛', '的']"
: 牙膏MSI贏過哪個中路選手？前期中路穩定爆開,"[':', ' ', '牙膏', 'MSI', '贏過', '哪個', '中路', '選手', '？', '前期', '中路', '穩定', '爆開']"
: 哪裡強? 被Faker壓在地板?,"[':', ' ', '哪裡強', '?', ' ', '被', 'Faker', '壓在', '地板', '?']"
