comments,keywords
: 肥豬bin那髮型看得到螢幕喔？,"[':', ' ', '肥豬', 'bin', '那', '髮', '型', '看', '得到', '螢幕', '喔', '？']"
: 22比賽恩強,"[':', ' ', '22', '比賽', '恩強']"
: msi感覺就這兩隻AD角色了,"[':', ' ', 'msi', '感覺', '就', '這兩', '隻', 'AD', '角色', '了']"
: 要抄作業了嗎,"[':', ' ', '要', '抄', '作業', '了', '嗎']"
: 不可能大樹吧,"[':', ' ', '不', '可能', '大樹', '吧']"
: 尺的皮膚怎麼又變這麼爛= =,"[':', ' ', '尺', '的', '皮膚', '怎麼', '又', '變', '這麼爛', '=', ' ', '=']"
: 卡茲克,"[':', ' ', '卡茲克']"
: 選角有點無聊,"[':', ' ', '選角', '有點', '無聊']"
: 右邊是啥破陣容,"[':', ' ', '右邊', '是', '啥', '破陣容']"
: 豹女XD,"[':', ' ', '豹女', 'XD']"
: 挖 五樓兩邊都拿野核互撞 但是右邊感覺窺啦,"[':', ' ', '挖', ' ', '五樓', '兩邊', '都', '拿', '野核', '互撞', ' ', '但是', '右邊', '感覺', '窺', '啦']"
: 會出手和輾壓 都是坦,"[':', ' ', '會', '出手', '和', '輾壓', ' ', '都', '是', '坦']"
: 抄啥作業 這種陣LPL一直在用好嗎,"[':', ' ', '抄', '啥', '作業', ' ', '這種', '陣', 'LPL', '一直', '在', '用', '好', '嗎']"
: 勛的奈德麗jdg 贏了吧,"[':', ' ', '勛', '的', '奈德', '麗', 'jdg', ' ', '贏了', '吧']"
: 兩邊的陣容同質性超高==,"[':', ' ', '兩邊', '的', '陣容', '同質性', '超高', '=', '=']"
: BLG 掰了,"[':', ' ', 'BLG', ' ', '掰', '了']"
: 這版本下路就大東金克斯岔雅,"[':', ' ', '這', '版本', '下路', '就', '大東金', '克斯', '岔雅']"
: BLG如果抄T1抄明白的話，打JDG真的有戲,"[':', ' ', 'BLG', '如果', '抄', 'T1', '抄', '明白', '的', '話', '，', '打', 'JDG', '真的', '有戲']"
: 這版本meta 就是這樣呀,"[':', ' ', '這', '版本', 'meta', ' ', '就是', '這樣', '呀']"
: 我覺得右邊拿個瞎子應該還可以吧 結果直接絕活豹女,"[':', ' ', '我覺', '得', '右邊', '拿個', '瞎子', '應', '該還', '可以', '吧', ' ', '結果', '直接', '絕活', '豹', '女']"
: 輸了，選nid 能幹嘛,"[':', ' ', '輸', '了', '，', '選', 'nid', ' ', '能', '幹', '嘛']"
: 卡茲克這BP選的超好  反向讓XUN不能拿千絕,"[':', ' ', '卡茲克', '這', 'BP', '選', '的', '超好', ' ', ' ', '反向', '讓', 'XUN', '不能', '拿千絕']"
